timestamp,"aileron, %","elevator, %","rudder, %","flaps, %","gear, %","airbrake, %","H, m","TAS, km/h","IAS, km/h",M,"AoA, deg","AoS, deg",Ny,"Vy, m/s","Wx, deg/s","throttle 1, %"
1777074857.3238761,0,0,0,0,100,0,32,0,0,0.0,0,0,0,0.0,0,0
1777074857.3809206,0,0,0,0,100,0,32,0,0,0.0,39.8,32.7,1.0,-0.0,0,0
1777074857.4473205,0,0,0,0,100,0,32,0,0,0.0,29.9,24.9,1.0,-0.0,0,0
1777074858.3010075,0,0,0,0,100,0,32,0,0,0.0,29.8,24.9,1.0,-0.0,0,0
1777074989.1924276,0,0,0,0,0,0,3000,342,294,0.29,-0.0,0.0,0.22,-0.2,0,92
1777074989.2151423,-12,6,-19,0,0,0,3000,342,295,0.29,0.1,-0.1,0.13,-0.3,0,92
1777074989.257952,-40,5,-77,0,0,0,3000,345,297,0.29,0.9,-0.3,0.2,-1.7,-8,79
1777074989.3029811,-23,-7,-20,0,0,0,3000,346,298,0.29,1.2,-0.5,0.28,-2.2,-9,70
1777074989.3696735,3,-5,82,0,0,0,2999,348,300,0.29,1.7,-0.8,0.33,-3.0,-10,59
1777074989.4060698,7,0,89,0,0,0,2999,349,301,0.29,1.9,-0.8,0.33,-3.4,-10,53
1777074989.4560285,8,2,66,0,0,0,2999,350,302,0.3,2.1,-0.6,0.35,-3.8,-10,47
1777074989.5028737,8,2,47,0,0,0,2999,351,302,0.3,2.3,-0.5,0.36,-4.1,-9,43
1777074989.5657136,8,1,20,0,0,0,2999,352,303,0.3,2.5,-0.2,0.39,-4.5,-8,37
1777074989.631714,7,0,-15,0,0,0,2998,353,304,0.3,2.7,0.1,0.41,-4.8,-6,31
1777074989.6570594,7,0,-28,0,0,0,2998,353,304,0.3,2.7,0.1,0.42,-5.0,-5,29
1777074989.705964,6,-1,-50,0,0,0,2998,354,305,0.3,2.9,0.3,0.44,-5.3,-3,22
1777074989.7582314,5,-1,-49,0,0,0,2998,355,305,0.3,3.0,0.4,0.46,-5.5,-2,18
1777074989.8056884,4,-1,-38,0,0,0,2997,355,306,0.3,3.2,0.4,0.48,-5.7,0,14
1777074989.8763368,4,-2,-9,0,0,0,2997,356,307,0.3,3.4,0.5,0.5,-6.2,1,5
1777074989.9058704,4,-1,-2,0,0,0,2997,356,307,0.3,3.4,0.5,0.5,-6.3,1,4
1777074989.957371,3,-1,10,0,0,0,2996,357,308,0.3,3.6,0.5,0.52,-6.6,2,0
1777074990.0121646,3,-1,12,0,0,0,2996,357,308,0.3,3.7,0.5,0.53,-6.8,2,0
1777074990.0777519,3,-1,9,0,0,0,2996,358,308,0.3,3.8,0.5,0.55,-7.0,2,0
1777074990.1083446,3,-1,6,0,0,0,2995,358,309,0.3,3.9,0.5,0.55,-7.2,2,0
1777074990.1714709,3,-1,3,0,0,0,2995,359,309,0.3,4.1,0.5,0.57,-7.5,2,0
1777074990.2135243,3,-1,1,0,0,0,2995,359,309,0.3,4.2,0.5,0.59,-7.7,3,0
1777074990.2609658,3,-1,0,0,0,0,2994,359,310,0.3,4.3,0.5,0.59,-7.8,3,0
1777074990.3077686,3,-1,0,0,0,0,2994,360,310,0.3,4.4,0.6,0.61,-8.0,3,0
1777074990.3796928,2,-1,1,0,0,0,2993,360,310,0.3,4.5,0.6,0.62,-8.2,3,0
1777074990.411667,2,-1,2,0,0,0,2993,360,311,0.3,4.6,0.6,0.62,-8.4,3,0
1777074990.459819,2,0,4,0,0,0,2993,361,311,0.3,4.7,0.6,0.64,-8.6,3,0
1777074990.527418,2,0,4,0,0,0,2992,361,311,0.3,4.8,0.6,0.66,-8.8,3,0
1777074990.5612762,2,-1,4,0,0,0,2992,361,312,0.3,4.9,0.6,0.67,-8.9,3,0
1777074990.6108997,2,-1,4,0,0,0,2991,362,312,0.3,5.0,0.6,0.68,-9.1,3,0
1777074990.6785705,2,-1,4,0,0,0,2991,362,312,0.31,5.1,0.5,0.69,-9.3,3,0
1777074990.7104783,2,-1,4,0,0,0,2990,362,312,0.31,5.1,0.5,0.7,-9.3,3,0
1777074990.7646563,2,-1,4,0,0,0,2990,362,312,0.31,5.2,0.5,0.7,-9.5,3,0
1777074990.8147397,1,-1,3,0,0,0,2989,363,313,0.31,5.3,0.5,0.72,-9.7,3,0
1777074990.8644629,1,0,3,0,0,0,2989,363,313,0.31,5.4,0.5,0.72,-9.8,3,0
1777074990.9240704,1,-1,3,0,0,0,2988,363,313,0.31,5.5,0.5,0.74,-10.0,3,1
1777074990.9898515,1,0,3,0,0,0,2988,363,313,0.31,5.6,0.5,0.75,-10.1,3,5
1777074991.0207534,1,-1,3,0,0,0,2987,364,313,0.31,5.6,0.5,0.75,-10.2,3,9
1777074991.0656335,1,0,3,0,0,0,2987,364,314,0.31,5.7,0.5,0.76,-10.3,3,13
1777074991.1263292,1,-1,3,0,0,0,2986,364,314,0.31,5.8,0.5,0.77,-10.5,3,19
1777074991.1875677,1,-1,3,0,0,0,2985,364,314,0.31,5.8,0.5,0.78,-10.6,3,25
1777074991.2172024,1,-1,3,0,0,0,2985,364,314,0.31,5.9,0.5,0.78,-10.7,3,28
1777074991.2687244,1,-1,3,0,0,0,2985,364,314,0.31,5.9,0.5,0.79,-10.7,3,32
1777074991.317247,0,0,3,0,0,0,2984,365,315,0.31,6.0,0.4,0.8,-10.9,2,38
1777074991.3664954,0,-1,3,0,0,0,2984,365,315,0.31,6.0,0.4,0.81,-10.9,2,42
1777074991.435713,0,-1,2,0,0,0,2983,365,315,0.31,6.1,0.4,0.82,-11.1,2,50
1777074991.4711282,0,0,2,0,0,0,2982,365,315,0.31,6.2,0.4,0.82,-11.1,2,52
1777074991.5216682,0,-1,3,0,0,0,2982,366,315,0.31,6.2,0.4,0.83,-11.2,2,58
1777074991.58796,0,-1,2,0,0,0,2981,366,316,0.31,6.3,0.4,0.84,-11.3,2,64
1777074991.6160967,0,-1,2,0,0,0,2981,366,316,0.31,6.3,0.4,0.84,-11.4,2,65
1777074991.678979,0,-1,2,0,0,0,2980,366,316,0.31,6.4,0.4,0.85,-11.5,2,67
1777074991.7409961,0,-1,2,0,0,0,2979,367,316,0.31,6.4,0.4,0.86,-11.6,2,66
1777074991.7735126,0,-1,2,0,0,0,2979,367,316,0.31,6.4,0.4,0.86,-11.6,2,65
1777074991.8234348,0,-1,2,0,0,0,2978,367,317,0.31,6.5,0.3,0.87,-11.7,2,61
1777074991.8693442,0,-1,3,0,0,0,2978,367,317,0.31,6.5,0.3,0.88,-11.7,2,57
1777074991.9547687,0,-2,2,0,0,0,2977,368,317,0.31,6.6,0.3,0.89,-11.8,1,50
1777074991.976387,0,-2,2,0,0,0,2977,368,318,0.31,6.6,0.3,0.88,-11.8,1,48
