timestamp,"aileron, %","elevator, %","rudder, %","flaps, %","gear, %","airbrake, %","H, m","TAS, km/h","IAS, km/h",M,"AoA, deg","AoS, deg",Ny,"Vy, m/s","Wx, deg/s","throttle 1, %"
1777604463.0809133,0,-7,0,0,0,0,3017,611,526,0.52,2.1,-0.0,1.05,6.1,0,0
1777604463.1227448,0,-7,0,0,0,0,3017,610,526,0.51,2.1,-0.0,1.05,6.2,0,0
1777604463.1745,0,-7,0,0,0,0,3017,610,525,0.51,2.1,-0.0,1.05,6.2,0,0
1777604463.2243237,0,-7,0,0,0,0,3018,610,525,0.51,2.1,-0.0,1.05,6.2,0,0
1777604463.3245754,0,-7,0,0,0,0,3018,610,525,0.51,2.1,-0.0,1.04,6.2,0,0
1777604463.3974783,0,-7,0,0,0,0,3019,609,524,0.51,2.1,-0.0,1.04,6.3,0,0
1777604463.4786181,0,-7,0,0,0,0,3019,609,524,0.51,2.1,-0.0,1.03,6.3,0,0
1777604463.5505602,0,-7,0,0,0,0,3020,608,524,0.51,2.1,0.0,1.03,6.3,0,0
1777604463.642694,0,-7,0,0,0,0,3020,608,523,0.51,2.1,0.0,1.03,6.3,0,0
1777604463.688002,0,-7,0,0,0,0,3021,608,523,0.51,2.1,0.0,1.04,6.4,0,0
1777604463.7526643,0,-7,0,0,0,0,3021,608,523,0.51,2.1,0.0,1.03,6.4,0,0
1777604463.7787626,0,-7,0,0,0,0,3021,607,523,0.51,2.1,0.0,1.03,6.4,0,0
1777604463.8925107,0,-7,0,0,0,0,3022,607,522,0.51,2.1,0.0,1.03,6.4,0,0
1777604463.984097,0,-7,0,0,0,0,3023,606,522,0.51,2.1,0.0,1.03,6.4,0,0
1777604464.0814989,0,-7,0,0,0,0,3023,606,521,0.51,2.1,0.0,1.03,6.5,0,0
1777604464.1330054,0,-7,0,0,0,0,3024,606,521,0.51,2.1,0.0,1.02,6.5,0,0
1777604464.1979468,0,-7,0,0,0,0,3024,605,521,0.51,2.1,0.0,1.02,6.5,0,0
1777604464.310342,0,-7,0,0,0,0,3025,605,521,0.51,2.1,-0.0,1.02,6.5,0,0
1777604464.3538778,0,-7,0,0,0,0,3025,605,520,0.51,2.1,-0.0,1.02,6.5,0,0
1777604464.3811123,0,-7,0,0,0,0,3025,605,520,0.51,2.1,-0.0,1.01,6.5,0,0
1777604464.436806,0,-7,0,0,0,0,3025,604,520,0.51,2.1,-0.0,1.02,6.5,0,0
1777604464.5081966,0,-7,0,0,0,0,3026,604,520,0.51,2.1,-0.0,1.02,6.5,0,0
1777604464.5362587,0,-7,0,0,0,0,3026,604,520,0.51,2.1,-0.0,1.03,6.5,0,0
1777604464.5870829,0,-7,0,0,0,0,3026,604,519,0.51,2.1,-0.0,1.01,6.5,0,0
1777604464.6490843,0,-7,0,0,0,0,3027,603,519,0.51,2.1,-0.0,1.02,6.5,0,0
1777604464.7113204,0,-7,0,0,0,0,3027,603,519,0.51,2.1,-0.0,1.01,6.5,0,0
1777604464.786148,0,-7,0,0,0,0,3028,603,519,0.51,2.1,-0.0,1.01,6.5,0,0
1777604464.834997,0,-7,0,0,0,0,3028,602,518,0.51,2.1,-0.0,1.01,6.5,0,0
1777604464.8856435,0,-7,0,0,0,0,3028,602,518,0.51,2.1,-0.0,1.0,6.5,0,0
1777604464.9383976,0,-7,0,0,0,0,3029,602,518,0.51,2.1,-0.0,1.01,6.5,0,0
1777604464.9869475,0,-7,0,0,0,0,3029,602,518,0.51,2.1,-0.0,1.0,6.5,0,0
1777604465.0890794,0,-7,0,0,0,0,3030,601,517,0.51,2.1,-0.0,1.0,6.5,0,0
1777604465.2621243,0,-7,0,0,0,0,3031,600,517,0.51,2.1,0.0,1.0,6.5,0,0
1777604465.290155,0,-7,0,0,0,0,3031,600,516,0.51,2.1,0.0,1.0,6.5,0,0
1777604465.3372557,0,-7,0,0,0,0,3031,600,516,0.51,2.1,0.0,0.99,6.5,0,0
1777604465.3883867,0,-7,0,0,0,0,3032,600,516,0.51,2.1,0.0,0.99,6.5,0,0
1777604465.4637094,0,-7,0,0,0,0,3032,600,516,0.51,2.1,0.0,1.0,6.5,0,0
1777604465.5103004,0,-7,0,0,0,0,3032,599,516,0.51,2.1,0.0,0.99,6.5,0,0
1777604465.538969,0,-7,0,0,0,0,3033,599,515,0.51,2.1,0.0,0.99,6.5,0,0
1777604465.644053,0,-7,0,0,0,0,3033,599,515,0.51,2.1,0.0,0.99,6.4,0,0
1777604465.6901014,0,-7,0,0,0,0,3034,598,515,0.5,2.1,0.0,0.99,6.4,0,0
1777604465.7892845,0,-7,0,0,0,0,3034,598,514,0.5,2.1,0.0,0.97,6.4,0,0
1777604465.8411627,0,-7,0,0,0,0,3035,598,514,0.5,2.1,0.0,0.99,6.4,0,0
1777604465.9459698,0,-7,0,0,0,0,3035,597,514,0.5,2.1,0.0,0.98,6.4,0,0
1777604465.992886,0,-7,0,0,0,0,3036,597,514,0.5,2.1,0.0,0.98,6.4,0,0
1777604466.068283,0,-7,0,0,0,0,3036,597,513,0.5,2.1,0.0,0.98,6.3,0,0
1777604466.1437693,0,-7,0,0,0,0,3036,596,513,0.5,2.1,0.0,0.98,6.3,0,0
1777604466.2073607,0,-7,0,0,0,0,3037,596,513,0.5,2.1,0.0,0.98,6.3,0,0
1777604466.312451,0,-7,0,0,0,0,3037,596,512,0.5,2.1,0.0,0.98,6.3,0,0
1777604466.3471317,0,-7,0,0,0,0,3038,596,512,0.5,2.1,-0.0,0.98,6.3,0,0
1777604466.4223442,0,-7,0,0,0,0,3038,595,512,0.5,2.1,-0.0,0.97,6.2,0,0
1777604466.469004,0,-7,0,0,0,0,3039,595,512,0.5,2.1,-0.0,0.97,6.2,0,0
1777604466.515741,0,-7,0,0,0,0,3039,595,511,0.5,2.1,-0.0,0.97,6.2,0,0
1777604466.6039953,0,-7,0,0,0,0,3039,594,511,0.5,2.1,-0.0,0.97,6.2,0,0
1777604466.6498885,0,-7,0,0,0,0,3040,594,511,0.5,2.1,-0.0,0.97,6.2,0,0
1777604466.7479498,0,-7,0,0,0,0,3040,594,511,0.5,2.1,-0.0,0.97,6.1,0,0
1777604466.8001893,0,-7,0,0,0,0,3041,593,510,0.5,2.1,-0.0,0.96,6.1,0,0
1777604466.8526955,0,-7,0,0,0,0,3041,593,510,0.5,2.1,-0.0,0.97,6.1,0,0
1777604467.0215418,0,-7,0,0,0,0,3042,593,509,0.5,2.1,-0.0,0.96,6.0,0,0
1777604467.0519564,0,-7,0,0,0,0,3042,592,509,0.5,2.1,-0.0,0.96,6.0,0,0
1777604467.09965,0,-7,0,0,0,0,3042,592,509,0.5,2.1,-0.0,0.97,6.0,0,0
1777604467.1523116,0,-7,0,0,0,0,3043,592,509,0.5,2.1,-0.0,0.96,6.0,0,0
1777604467.223881,0,-7,0,0,0,0,3043,592,509,0.5,2.1,-0.0,0.96,5.9,0,0
1777604467.251369,0,-7,0,0,0,0,3043,591,508,0.5,2.1,-0.0,0.96,5.9,0,0
1777604467.3020327,0,-7,0,0,0,0,3044,591,508,0.5,2.1,-0.0,0.96,5.9,0,0
1777604467.4032671,0,-7,0,0,0,0,3044,591,508,0.5,2.1,-0.0,0.95,5.9,0,0
1777604467.470241,0,-7,0,0,0,0,3045,591,508,0.5,2.1,-0.0,0.96,5.8,0,0
