timestamp,"aileron, %","elevator, %","rudder, %","flaps, %","gear, %","airbrake, %","H, m","TAS, km/h","IAS, km/h",M,"AoA, deg","AoS, deg",Ny,"Vy, m/s","Wx, deg/s","throttle 1, %"
1777611547.533874,0,0,0,0,100,0,32,0,0,0.0,-43.8,43.6,1.0,0.0,0,0
1777611547.5608659,0,0,0,0,100,0,32,0,0,0.0,-43.8,43.7,1.0,0.0,0,0
1777611547.6224456,0,0,0,0,100,0,32,0,0,0.0,-43.7,43.8,1.0,0.0,0,0
1777611547.6602504,0,0,0,0,100,0,32,0,0,0.0,-43.6,43.9,1.0,0.0,0,0
1777611547.7128246,0,0,0,0,100,0,32,0,0,0.0,-43.5,44.0,1.0,0.0,0,0
1777611547.7578905,0,0,0,0,100,0,32,0,0,0.0,-43.4,44.1,1.0,0.0,0,0
1777611547.810009,0,0,0,0,100,0,32,0,0,0.0,-43.3,44.2,1.0,0.0,0,0
1777611547.8622549,0,0,0,0,100,0,32,0,0,0.0,-43.3,44.3,1.0,0.0,0,0
1777611547.9326563,0,0,0,0,100,0,32,0,0,0.0,-43.2,44.4,1.0,0.0,0,0
1777611548.0118785,0,0,0,0,100,0,32,0,0,0.0,-43.1,44.4,1.0,0.0,0,0
1777611548.0630863,0,0,0,0,100,0,32,0,0,0.0,-43.1,44.5,1.0,0.0,0,0
1777611548.1691084,0,0,0,0,100,0,32,0,0,0.0,-43.1,44.4,1.0,0.0,0,0
1777611548.226943,0,0,0,0,100,0,32,0,0,0.0,-43.2,44.4,1.0,0.0,0,0
1777611548.2647045,0,0,0,0,100,0,32,0,0,0.0,-43.2,44.3,1.0,0.0,0,0
1777611548.317889,0,0,0,0,100,0,32,0,0,0.0,-43.3,44.3,1.0,0.0,0,0
1777611548.3643143,0,0,0,0,100,0,32,0,0,0.0,-43.3,44.2,1.0,0.0,0,0
1777611548.4174457,0,0,0,0,100,0,32,0,0,0.0,-43.4,44.1,1.0,0.0,0,0
1777611548.463973,0,0,0,0,100,0,32,0,0,0.0,-43.5,44.0,1.0,0.0,0,0
